Aphid_species,Soil_conditioning,BlockNr,Block,Block_g,plantnr,cagenr,Days_after_inf,inductionnr,Aphid_number,notes
MpN,CTRL,4.6,4,2,6,1,8,1,4,
MpN,CTRL,4.7,4,2,7,1,8,1,1,
MpN,CTRL,4.7,4,2,7,2,8,1,1,
MpN,CTRL,5.8,5,3,8,1,8,1,7,
MpN,CTRL,5.8,5,3,8,2,8,1,1,
MpN,CTRL,5.9,5,3,9,1,8,1,1,
MpN,CTRL,5.9,5,3,9,2,8,1,1,
MpN,CTRL,6.11,6,3,11,1,8,1,3,trips damage?
MpN,CTRL,6.11,6,3,11,2,8,1,1,
Bb,Aphid,1.1,1,1,1,1,14,1,18,
Bb,Aphid,1.1,1,1,1,2,14,1,15,
Bb,Aphid,1.2,1,1,2,1,14,1,26,
Bb,Aphid,1.2,1,1,2,2,14,1,25,
Bb,Aphid,2.3,2,1,3,1,14,1,29,
Bb,Aphid,2.3,2,1,3,2,14,1,15,
Bb,Aphid,2.4,2,1,4,1,14,1,23,
Bb,Aphid,2.4,2,1,4,2,14,1,6,
Bb,Aphid,3.5,3,2,5,1,14,1,8,
Bb,Aphid,4.6,4,2,6,1,14,1,13,
Bb,Aphid,4.6,4,2,6,2,14,1,16,
Bb,Aphid,4.7,4,2,7,1,14,1,12,
Bb,Aphid,4.7,4,2,7,2,14,1,11,
Bb,Aphid,5.1,5,3,9,1,14,1,28,
Bb,Aphid,5.1,5,3,9,2,14,1,42,
Bb,Aphid,5.8,5,3,8,1,14,1,14,
Bb,Aphid,5.8,5,3,8,2,14,1,31,
Bb,Aphid,6.11,6,3,10,1,14,1,28,
Bb,Aphid,6.11,6,3,10,2,14,1,28,
Bb,CTRL,1.1,1,1,1,1,14,1,14,
Bb,CTRL,1.1,1,1,1,2,14,1,8,
Bb,CTRL,1.2,1,1,2,1,14,1,12,
Bb,CTRL,1.2,1,1,2,2,14,1,6,
Bb,CTRL,2.3,2,1,3,1,14,1,29,
Bb,CTRL,2.3,2,1,3,2,14,1,15,
Bb,CTRL,3.4,3,2,4,1,14,1,27,
Bb,CTRL,3.4,3,2,4,2,14,1,14,
Bb,CTRL,3.5,3,2,5,1,14,1,10,
Bb,CTRL,3.5,3,2,5,2,14,1,11,
Bb,CTRL,4.6,4,2,6,1,14,1,19,
Bb,CTRL,4.6,4,2,6,2,14,1,18,
Bb,CTRL,5.7,5,3,7,1,14,1,38,
Bb,CTRL,5.7,5,3,7,2,14,1,21,
Bb,CTRL,5.8,5,3,8,1,14,1,33,
Bb,CTRL,5.8,5,3,8,2,14,1,14,
Bb,CTRL,6.1,6,3,10,1,14,1,12,
Bb,CTRL,6.1,6,3,10,2,14,1,15,
Bb,CTRL,6.12,6,3,11,1,14,1,4,
Bb,CTRL,6.9,6,3,9,1,14,1,10,
Bb,CTRL,6.9,6,3,9,2,14,1,7,
Mp,Aphid,1.1,1,1,1,1,14,1,17,
Mp,Aphid,1.1,1,1,1,2,14,1,11,
Mp,Aphid,1.2,1,1,2,1,14,1,14,
Mp,Aphid,1.2,1,1,2,2,14,1,13,
Mp,Aphid,2.3,2,1,3,1,14,1,19,
Mp,Aphid,2.3,2,1,3,2,14,1,9,
Mp,Aphid,2.4,2,1,4,1,14,1,18,
Mp,Aphid,2.4,2,1,4,2,14,1,5,
Mp,Aphid,2.5,2,1,5,1,14,1,19,
Mp,Aphid,2.5,2,1,5,2,14,1,31,
Mp,Aphid,3.6,3,2,6,1,14,1,17,
Mp,Aphid,3.6,3,2,6,2,14,1,31,
Mp,Aphid,3.7,3,2,7,1,14,1,11,
Mp,Aphid,4.8,4,2,8,1,14,1,20,
Mp,Aphid,4.8,4,2,8,2,14,1,28,
Mp,Aphid,5.1,5,3,10,1,14,1,13,
Mp,Aphid,5.1,5,3,10,2,14,1,23,
Mp,Aphid,5.9,5,3,9,1,14,1,16,
Mp,Aphid,5.9,5,3,9,2,14,1,9,
Mp,Aphid,6.11,6,3,11,1,14,1,4,
Mp,CTRL,1.1,1,1,1,1,14,1,14,
Mp,CTRL,1.1,1,1,1,2,14,1,24,
Mp,CTRL,1.2,1,1,2,1,14,1,3,
Mp,CTRL,1.2,1,1,2,2,14,1,22,
Mp,CTRL,2.3,2,1,3,1,14,1,18,
Mp,CTRL,2.3,2,1,3,2,14,1,15,
Mp,CTRL,3.4,3,2,4,1,14,1,19,
Mp,CTRL,3.4,3,2,4,2,14,1,18,
Mp,CTRL,3.5,3,2,5,1,14,1,21,
Mp,CTRL,3.5,3,2,5,2,14,1,16,
Mp,CTRL,4.6,4,2,6,1,14,1,18,
Mp,CTRL,4.6,4,2,6,2,14,1,11,
Mp,CTRL,4.7,4,2,7,1,14,1,10,
Mp,CTRL,4.7,4,2,7,2,14,1,10,
Mp,CTRL,4.8,4,2,8,1,14,1,13,
Mp,CTRL,4.8,4,2,8,2,14,1,10,
Mp,CTRL,5.9,5,3,9,1,14,1,7,
Mp,CTRL,5.9,5,3,9,2,14,1,14,
Mp,CTRL,6.1,6,3,10,1,14,1,32,
Mp,CTRL,6.1,6,3,10,2,14,1,26,
Mp,CTRL,6.11,6,3,11,1,14,1,45,
Mp,CTRL,6.11,6,3,11,2,14,1,22,
MpN,Aphid,1.1,1,1,1,1,14,1,13,
MpN,Aphid,1.1,1,1,1,2,14,1,10,
MpN,Aphid,1.2,1,1,2,1,14,1,4,
MpN,Aphid,2.3,2,1,3,1,14,1,10,
MpN,Aphid,2.3,2,1,3,2,14,1,5,
MpN,Aphid,3.4,3,2,4,1,14,1,11,
MpN,Aphid,3.4,3,2,4,2,14,1,11,
MpN,Aphid,3.5,3,2,5,1,14,1,9,
MpN,Aphid,3.5,3,2,5,2,14,1,19,
MpN,Aphid,5.7,5,3,7,1,14,1,4,
MpN,Aphid,5.7,5,3,7,2,14,1,5,
MpN,Aphid,6.1,6,3,10,1,14,1,24,
MpN,Aphid,6.1,6,3,10,2,14,1,26,
MpN,Aphid,6.11,6,3,11,1,14,1,13,
MpN,Aphid,6.11,6,3,11,2,14,1,22,
MpN,Aphid,6.12,6,3,12,1,14,1,11,
MpN,Aphid,6.12,6,3,12,2,14,1,14,
MpN,Aphid,6.8,6,3,8,1,14,1,3,
MpN,Aphid,6.8,6,3,8,2,14,1,4,
MpN,Aphid,6.9,6,3,9,1,14,1,13,
MpN,Aphid,6.9,6,3,9,2,14,1,25,
MpN,CTRL,1.1,1,1,1,1,14,1,18,
MpN,CTRL,2.2,2,1,2,1,14,1,13,
